Name,outfit space,thrust,thrusting energy,thrusting heat,turn,turning energy,turning heat,reverse thrust,reverse thrusting energy,reverse thrusting heat,afterburner thrust,thrust per space,turn per space
X1050 Ion Engines,20.0,33480.0,0.4,0.6,11880.0,0.25,0.5,0.0,0.0,0.0,0.0,1674.0,594.0
X1700 Ion Thruster,16.0,48762.0,0.6,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3047.625,0.0
X2700 Ion Thruster,27.0,86670.0,1.1,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3210.0,0.0
X3700 Ion Thruster,46.0,155790.0,1.9,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3386.739,0.0
X4700 Ion Thruster,79.0,289440.0,3.5,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3663.797,0.0
X5700 Ion Thruster,121.0,485730.00000000006,6.3,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4014.298,0.0
X1200 Ion Steering,12.0,0.0,0.0,0.0,17280.0,0.3,0.6,0.0,0.0,0.0,0.0,0.0,1440.0
X2200 Ion Steering,20.0,0.0,0.0,0.0,33120.0,0.6,1.1,0.0,0.0,0.0,0.0,0.0,1656.0
X3200 Ion Steering,35.0,0.0,0.0,0.0,63720.0,1.1,2.0,0.0,0.0,0.0,0.0,0.0,1820.571
X4200 Ion Steering,59.0,0.0,0.0,0.0,128340.0,1.9,3.9,0.0,0.0,0.0,0.0,0.0,2175.254
X5200 Ion Steering,89.0,0.0,0.0,0.0,234810.0,3.5,7.3,0.0,0.0,0.0,0.0,0.0,2638.315
X1100 Ion Reverse Thruster,16.0,0.0,0.0,0.0,0.0,0.0,0.0,48762.0,0.6,0.9,0.0,3047.625,0.0
